Date,Description,Amount,Balance
2026-03-01,PAYROLL DIRECT DEPOSIT ACME CORP,3500.00,4200.00
2026-03-02,RENT PAYMENT GREENWOOD APTS,-1450.00,2750.00
2026-03-03,WHOLE FOODS MARKET,-127.43,2622.57
2026-03-05,SHELL GAS STATION,-48.20,2574.37
2026-03-07,NETFLIX.COM,-15.99,2558.38
2026-03-09,PG&E UTILITY,-142.00,2416.38
2026-03-12,CHIPOTLE,-14.85,2401.53
2026-03-14,PAYMENT TO VISA THANK YOU,-300.00,2101.53
2026-03-16,TRADER JOES,-88.10,2013.43
2026-03-18,SPOTIFY,-10.99,2002.44
2026-03-20,UBER TRIP,-22.40,1980.04
2026-03-25,AT&T WIRELESS,-85.00,1895.04
2026-03-28,CVS PHARMACY,-32.18,1862.86
2026-04-01,PAYROLL DIRECT DEPOSIT ACME CORP,3500.00,5362.86
2026-04-02,RENT PAYMENT GREENWOOD APTS,-1450.00,3912.86
2026-04-04,SAFEWAY,-156.22,3756.64
2026-04-06,SHELL GAS STATION,-51.00,3705.64
2026-04-08,AMC THEATRES,-34.00,3671.64
2026-04-10,PG&E UTILITY,-138.50,3533.14
2026-04-14,PAYMENT TO VISA THANK YOU,-300.00,3233.14
2026-04-15,OLIVE GARDEN,-62.30,3170.84
2026-04-22,AT&T WIRELESS,-85.00,3085.84
2026-04-26,WHOLE FOODS MARKET,-119.74,2966.10
